Wavelength (nm),Intensity (a.u.),
573,2.002901554,
574,2.016745806,
575,2.030692339,
576,2.044733286,
577,2.058852196,
578,2.073047876,
579,2.087328434,
580,2.101694345,
581,2.11612916,
582,2.130649805,
583,2.145237923,
584,2.159892082,
585,2.174618483,
586,2.1894238,
587,2.204315662,
588,2.21930337,
589,2.234395266,
590,2.249594688,
591,2.264928818,
592,2.280390024,
593,2.295972586,
594,2.311693668,
595,2.327558041,
596,2.343583584,
597,2.359796762,
598,2.376199961,
599,2.392808676,
600,2.409609795,
