Wavelength (nm),Intensity (a.u.),
491.9400024,1.761681914,
492.980011,1.764401674,
494.019989,1.76585567,
495.0700073,1.76624155,
495.9700012,1.765616536,
497.0100098,1.764570951,
498.0499878,1.76286006,
498.9500122,1.760901451,
500,1.75783658,
501.0599976,1.754387617,
501.9599915,1.750835061,
503.0299988,1.746670127,
503.9299927,1.743324757,
505,1.740461469,
506.0599976,1.738099337,
506.9599915,1.737169504,
508.0299988,1.735280275,
508.9299927,1.733715892,
510,1.731520295,
511.0400085,1.730241656,
511.9400024,1.729197145,
512.9799805,1.728263974,
514.0200195,1.727906466,
515.0700073,1.727938652,
515.9699707,1.727705836,
517.0100098,1.727013946,
518.0499878,1.724875689,
518.9500122,1.721437812,
520,1.716858506,
521.039978,1.71148026,
521.9400024,1.705368996,
522.9799805,1.698792458,
524.0200195,1.693143487,
525.0700073,1.686975002,
525.9699707,1.680528045,
527.0100098,1.674182177,
528.0499878,1.667503119,
528.9500122,1.660747528,
530,1.654055476,
531.039978,1.647356749,
531.9400024,1.640745997,
532.9799805,1.633572459,
534.0200195,1.626505256,
535.0700073,1.618804097,
535.9699707,1.611027479,
537.0100098,1.602774739,
538.0499878,1.594262004,
538.9500122,1.586225986,
540,1.578505158,
541.0200195,1.571863532,
542.0499878,1.566079736,
542.9400024,1.561080337,
543.9699707,1.556609154,
545,1.551903844,
546.0200195,1.547209501,
547.0499878,1.543325663,
547.9400024,1.539772391,
548.9699707,1.536096334,
550,1.532603383,
551.039978,1.527464867,
551.9400024,1.521964073,
552.9799805,1.515430689,
554.0200195,1.508808136,
555.0700073,1.501865625,
555.9699707,1.494784355,
557.0100098,1.487680674,
558.0499878,1.480159283,
558.9500122,1.473013997,
560,1.466083765,
561.0200195,1.458840847,
562.0499878,1.451123595,
562.9400024,1.443008184,
563.9699707,1.434229016,
565,1.425101876,
566.0200195,1.415708184,
567.0499878,1.407050848,
567.9400024,1.398292661,
568.9699707,1.389460683,
570,1.381267071,
571.039978,1.372789264,
571.9400024,1.364873171,
572.9799805,1.356598735,
574.0200195,1.348546863,
575.0700073,1.340538025,
575.9699707,1.332682967,
577.0100098,1.325001001,
578.0499878,1.316641927,
578.9500122,1.308897257,
580,1.30063653,
581.0200195,1.291460633,
582.0499878,1.281921268,
582.9400024,1.272337198,
583.9699707,1.262433171,
585,1.252173901,
586.0200195,1.24164021,
587.0499878,1.231281161,
587.9400024,1.22053647,
588.9699707,1.209974051,
590,1.199817181,
591.0200195,1.190304399,
592.0499878,1.181133389,
592.9400024,1.172203183,
593.9699707,1.163007736,
595,1.153518915,
596.0200195,1.144143939,
597.0499878,1.134155869,
597.9400024,1.123532772,
598.9699707,1.113274574,
600,1.10231626,
